"census_date","gr","squirrel_id","reflo","locx","locy"
2013-05-15,"JO",11260,"G.9","G.5","9.0"
2013-05-15,"JO",11848,"G.11.","G.5","11.5"
2013-05-15,"JO",13204,"G.3","G.5","3.0"
2013-05-15,"JO",10773,"G.1","G.5","1.0"
2013-05-15,"JO",10321,"K.7.","K.5","7.5"
2013-05-15,"JO",11965,"I.16.","I.5","16.5"
2013-05-15,"JO",11726,"M.4","M.5","4.0"
2013-05-15,"JO",11794,"H.17.","H.5","17.5"
2013-05-15,"JO",12153,"L.20.","L.5","20.5"
2013-05-15,"JO",10848,"Q.13","Q.5","13.0"
2013-05-15,"JO",12698,"R.12.","R.5","12.5"
2013-05-15,"SU",10654,"E.1.","E.5","1.5"
2013-05-15,"JO",10526,"L.3","L.5","3.0"
2013-05-15,"SU",11002,"D.17.","D.5","17.5"
2013-05-15,"JO",11412,"C.2","C.5","2.0"
2013-05-15,"SU",11576,"C.4","C.5","4.0"
2013-05-15,"JO",11902,"B.5.","B.5","5.5"
2013-05-15,"SU",11578,"G.14.","G.5","14.5"
2013-05-15,"JO",11729,"J.0.","J.5","0.5"
2013-05-15,"JO",11729,"I.0.","I.5","0.5"
2013-05-15,"JO",12368,"A.5","A.5","5.0"
2013-05-15,"JO",11459,"E.2.","E.5","2.5"
2013-05-15,"AG",12535,"I.21.","I.5","21.5"
2013-05-15,"JO",11872,"H.12.","H.5","12.5"
2013-05-15,"AG",12770,"I.0","I.5","0.0"
2013-05-15,"JO",11874,"A.13","A.5","13.0"
2013-05-15,"JO",11905,"A.0","A.5","0.0"
2013-05-15,"JO",13052,"K.6.","K.5","6.5"
2013-05-15,"JO",11041,"N.19.","N.5","19.5"
2013-05-15,"JO",11041,"O.19.","O.5","19.5"
2013-05-15,"JO",10233,"N.7","N.5","7.0"
2013-05-15,"JO",10593,"P.8","P.5","8.0"
2013-05-15,"JO",12169,"S.6.","S.5","6.5"
2013-05-15,"AG",11711,"Q.7.","Q.5","7.5"
2013-05-15,"AG",12330,"O.15.","O.5","15.5"
2013-05-15,"AG",11817,"U.6","U.5","6.0"
2013-05-15,"AG",13115,"T.0","T.5","0.0"
2013-05-15,"JO",11611,"F.20","F.5","20.0"
2013-05-15,"JO",10841,"F.18.","F.5","18.5"
2013-05-15,"JO",10841,"E.19","E.5","19.0"
2013-05-15,"JO",12819,"D.14","D.5","14.0"
2013-05-15,"AG",11926,"T.4","T.5","4.0"
2013-05-15,"JO",12844,"F.15","F.5","15.0"
2013-05-15,"JO",13080,"F.10.","F.5","10.5"
2013-05-15,"JO",12974,"F.4.","F.5","4.5"
2013-05-15,"JO",11875,"G.14","G.5","14.0"
2013-05-15,"JO",10383,"K.8.","K.5","8.5"
2013-05-15,"JO",11604,"M.6.","M.5","6.5"
2013-05-15,"JO",11604,"L.7.","L.5","7.5"
2013-05-15,"AG",12183,"L.20.","L.5","20.5"
2013-05-15,"AG",12606,"J.19.","J.5","19.5"
2013-05-15,"JO",19255,"M.19.","M.5","19.5"
2013-05-15,"JO",12697,"H.13.","H.5","13.5"
2013-05-15,"AG",13071,"M.17","M.5","17.0"
2013-05-15,"JO",12697,"H.15","H.5","15.0"
2013-05-15,"JO",10422,"J.9","J.5","9.0"
2013-05-15,"AG",12074,"I.2","I.5","2.0"
2013-05-15,"JO",13428,"L.15","L.5","15.0"
2013-05-15,"AG",12605,"I.17.","I.5","17.5"
2013-05-15,"JO",11608,"T.1","T.5","1.0"
2013-05-15,"JO",12692,"T.9","T.5","9.0"
2013-05-15,"AG",12121,"O.6","O.5","6.0"
2013-05-15,"JO",13294,"R.11","R.5","11.0"
2013-05-15,"AG",13259,"U.1","U.5","1.0"
2013-05-15,"AG",12157,"U.12","U.5","12.0"
2013-05-15,"AG",11059,"L.13.","L.5","13.5"
2013-05-15,"AG",13258,"T.17.","T.5","17.5"
2013-05-15,"KL",12678,"B.10.","B.5","10.5"
2013-05-15,"KL",12908,"C.19","C.5","19.0"
2013-05-15,"KL",11983,"J.19","J.5","19.0"
2013-05-15,"KL",13125,"K.17","K.5","17.0"
2013-05-15,"KL",12542,"L.15","L.5","15.0"
2013-05-15,"KL",12542,"M.15","M.5","15.0"
2013-05-15,"KL",11460,"H.3.","H.5","3.5"
2013-05-15,"AG",13240,"I.13.","I.5","13.5"
2013-05-15,"AG",11809,"R.16","R.5","16.0"
2013-05-15,"AG",12075,"F.5.","F.5","5.5"
2013-05-15,"SU",11976,"B.1","B.5","1.0"
2013-05-15,"SU",11976,"C.1","C.5","1.0"
2013-05-15,"SU",11979,"K.8.","K.5","8.5"
2013-05-15,"AG",12353,"G.0.","G.5","0.5"
2013-05-15,"SU",11981,"R.2","R.5","2.0"
2013-05-15,"JO",11994,"B.11.","B.5","11.5"
2013-05-15,"JO",11803,"G.10","G.5","10.0"
2013-05-15,"JO",13290,"J.15.","J.5","15.5"
2013-05-15,"JO",11962,"J.5","J.5","5.0"
2013-05-15,"JO",10218,"L.6","L.5","6.0"
2013-05-15,"JO",12860,"M.9.","M.5","9.5"
2013-05-15,"JO",11370,"N.14","N.5","14.0"
2013-05-15,"JO",13208,"Q.1.","Q.5","1.5"
2013-05-15,"KL",12008,"F.21","F.5","21.0"
2013-05-15,"KL",12513,"J.9","J.5","9.0"
2013-05-15,"KL",13084,"O.4","O.5","4.0"
2013-05-15,"KL",10342,"G.2","G.5","2.0"
2013-05-15,"KL",12136,"I.16","I.5","16.0"
2013-05-15,"KL",12202,"G.18","G.5","18.0"
2013-05-15,"KL",12625,"M.8","M.5","8.0"
2013-05-15,"KL",11896,"O.2","O.5","2.0"
2013-05-15,"AG",12280,"A.23.","A.5","23.5"
2013-05-15,"KL",11775,"B.5.","B.5","5.5"
2013-05-15,"KL",13010,"C.0.","C.5","0.5"
2013-05-15,"KL",11256,"D.5.","D.5","5.5"
2013-05-15,"JO",12367,"R.8.","R.5","8.5"
2013-05-15,"JO",10351,"P.11.","P.5","11.5"
2013-05-15,"JO",11402,"P.5.","P.5","5.5"
2013-05-15,"KL",10995,"I.2","I.5","2.0"
