"year","date","repro_stage","squirrel_id","sex","grid","locx_feed","locy_feed","detail","food_type","locx_census","locy_census","locx_census_numeric","locx_feed_numeric","buffer_radius","midden_radius","distance_to_midden","within_territory","within_midden"
2013,"2013-03-06","mating",12565,"M","KL","-3.0","10.0",2,"capital","-3.0",10,-3,-3,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-12","mating",10046,"F","KL","1.2","3.2",2,"capital","0.4",2.6,0.4,1.2,1.73333333333333,0.333333333333333,30,TRUE,FALSE
2013,"2013-03-11","mating",11775,"F","KL","2.5","5.5",2,"capital","B.4",5.5,2.4,2.5,1.73333333333333,0.333333333333333,3,TRUE,TRUE
2013,"2013-03-12","mating",12522,"M","SU","5.1","3.4",2,"capital","E.1",3.4,5.1,5.1,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-12","mating",11957,"M","KL","13.8","12.7",2,"capital","M.6",12.4,13.6,13.8,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE
2013,"2013-03-16","mating",10531,"M","KL","6.1","6.4",2,"capital","F.0",6.5,6,6.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"2013-03-16","mating",12657,"M","KL","11.0","6.0",2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-03-17","mating",12657,"M","KL","11.0","6.0",2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-03-17","mating",10046,"F","KL","3.0","2.3",2,"capital","0.4",2.6,0.4,3,1.73333333333333,0.333333333333333,78.5175139698144,FALSE,FALSE
2013,"2013-03-18","mating",12445,"M","KL","9.0","5.0",2,"capital","I.2",4.9,9.2,9,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE
2013,"2013-03-18","mating",11537,"F","KL","14.6","2.4",2,"capital","O.3",2.5,15.3,14.6,1.73333333333333,0.333333333333333,21.2132034355965,TRUE,FALSE
2013,"2013-03-19","mating",11619,"F","KL","-3.1","7.9",2,"capital","-3.0",8,-3,-3.1,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE
2013,"2013-03-24","mating",12017,"M","KL","5.0","1.1",2,"capital","E.0",1.3,5,5,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-03-24","mating",12422,"F","KL","4.2","7.0",2,"capital","D.0",7,4,4.2,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-03-24","mating",10993,"F","KL","11.6","0.8",2,"capital","K.5",0.5,11.5,11.6,1.73333333333333,0.333333333333333,9.48683298050514,TRUE,TRUE
2013,"2013-04-08","mating",11266,"M","KL","7.0","10.5",2,"capital","G.1",10.5,7.1,7,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-08","mating",12236,"M","KL","4.9","11.0",2,"capital","D.9",10.9,4.9,4.9,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-08","mating",12209,"M","KL","-7.2","11.0",2,"capital","-7.0",11,-7,-7.2,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-04-08","mating",12565,"M","KL","-3.1","10.2",2,"capital","-3.0",10,-3,-3.1,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE
2013,"2013-03-29","mating",13179,"M","KL","14.1","8.4",2,"capital","N.0",8.7,14,14.1,1.73333333333333,0.333333333333333,9.4868329805051,TRUE,TRUE
2013,"2013-03-29","mating",13048,"M","KL","3.3","2.5",2,"capital","C.0",2.5,3,3.3,1.73333333333333,0.333333333333333,9,TRUE,TRUE
2013,"2013-04-01","mating",12542,"M","KL","13.8","14.9",2,"capital","M.7",14.9,13.7,13.8,1.73333333333333,0.333333333333333,3.00000000000004,TRUE,TRUE
2013,"2013-03-29","mating",10047,"M","KL","2.2","15.7",2,"capital","B.1",15.5,2.1,2.2,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE
2013,"2013-03-29","mating",11460,"M","KL","8.6","3.4",2,"capital","H.7",3.4,8.7,8.6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-03-29","mating",12657,"M","KL","11.1","5.9",2,"capital","K.0",6.2,11,11.1,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE
2013,"2013-04-01","mating",11460,"M","KL","8.5","3.1",2,"capital","H.7",3.4,8.7,8.5,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE
2013,"2013-04-01","mating",12445,"M","KL","9.3","5.4",2,"capital","I.2",4.9,9.2,9.3,1.73333333333333,0.333333333333333,15.2970585407784,TRUE,FALSE
2013,"2013-03-29","mating",13048,"M","KL","3.3","2.3",2,"capital","C.0",2.5,3,3.3,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE
2013,"2013-04-01","mating",12657,"M","KL","11.1","5.9",2,"capital","K.0",6.2,11,11.1,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE
2013,"2013-03-29","mating",12236,"M","KL","5.0","10.9",2,"capital","D.9",10.9,4.9,5,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-01","mating",12209,"M","KL","-7.1","11.1",2,"capital","-7.0",11,-7,-7.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"2013-03-29","mating",11266,"M","KL","7.2","10.6",2,"capital","G.1",10.5,7.1,7.2,1.73333333333333,0.333333333333333,4.24264068711929,TRUE,TRUE
2013,"2013-04-01","mating",12565,"M","KL","-3.2","10.1",2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE
2013,"2013-03-29","mating",12542,"M","KL","13.5","15.2",2,"capital","M.7",14.9,13.7,13.5,1.73333333333333,0.333333333333333,10.8166538263919,TRUE,TRUE
2013,"2013-03-29","mating",11983,"M","KL","10.5","19.0",2,"capital","J.7",19,10.7,10.5,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE
2013,"2013-04-03","mating",12825,"M","KL","6.9","5.1",2,"capital","G.0",5,7,6.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"2013-04-06","mating",12364,"M","KL","10.0","10.6",2,"capital","J.1",11,10.1,10,1.73333333333333,0.333333333333333,12.369316876853,TRUE,TRUE
2013,"2013-04-06","mating",13039,"M","KL","7.1","3.6",2,"capital","G.0",3.5,7,7.1,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE
2013,"2013-04-06","mating",12445,"M","KL","9.3","4.9",2,"capital","I.2",4.9,9.2,9.3,1.73333333333333,0.333333333333333,3.00000000000004,TRUE,TRUE
2013,"2013-04-06","mating",12363,"M","KL","7.9","14.9",2,"capital","H.0",15,8,7.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"2013-04-06","mating",13125,"M","KL","12.0","17.0",2,"capital","K.8",17,11.8,12,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE
2013,"2013-04-06","mating",12542,"M","KL","13.5","15.0",2,"capital","M.7",14.9,13.7,13.5,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE
2013,"2013-04-07","mating",12007,"M","KL","3.0","12.9",2,"capital","C.0",13,3,3,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-07","mating",12908,"M","KL","3.7","18.8",2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE
2013,"2013-04-07","mating",12705,"M","KL","8.0","12.0",2,"capital","E.0",14.6,5,8,1.73333333333333,0.333333333333333,119.096599447675,FALSE,FALSE
2013,"2013-04-12","mating",13048,"M","KL","3.2","2.3",2,"capital","C.0",2.5,3,3.2,1.73333333333333,0.333333333333333,8.48528137423858,TRUE,TRUE
2013,"2013-03-18","mating",12825,"M","KL","6.2","7.9",2,"capital","G.0",5,7,6.2,1.73333333333333,0.333333333333333,90.249653738948,FALSE,FALSE
2013,"2013-03-19","mating",12705,"M","KL","8.1","12.2",2,"capital","E.0",14.6,5,8.1,1.73333333333333,0.333333333333333,117.613774703476,FALSE,FALSE
2013,"2013-03-19","mating",12542,"M","KL","13.7","14.9",2,"capital","M.7",14.9,13.7,13.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-20","mating",13125,"M","KL","12.5","16.9",2,"capital","K.8",17,11.8,12.5,1.73333333333333,0.333333333333333,21.2132034355964,TRUE,FALSE
2013,"2013-03-20","mating",13039,"M","KL","7.0","3.9",2,"capital","G.0",3.5,7,7,1.73333333333333,0.333333333333333,12,TRUE,TRUE
2013,"2013-04-13","mating",12565,"M","KL","-3.1","10.3",2,"capital","-3.0",10,-3,-3.1,1.73333333333333,0.333333333333333,9.48683298050516,TRUE,TRUE
2013,"2013-04-14","mating",12209,"M","KL","-7.6","12.4",2,"capital","-7.0",11,-7,-7.6,1.73333333333333,0.333333333333333,45.6946386351835,TRUE,FALSE
2013,"2013-04-13","mating",11266,"M","KL","7.1","10.7",2,"capital","G.1",10.5,7.1,7.1,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE
2013,"2013-04-15","mating",12522,"M","SU","8.2","4.0",2,"capital","E.1",3.4,5.1,8.2,1.73333333333333,0.333333333333333,94.7259204230817,FALSE,FALSE
2013,"2013-04-15","mating",13129,"M","SU","14.0","5.6",2,"capital","N.0",5.5,14,14,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-15","mating",11621,"M","KL","9.8","20.3",2,"capital","F.0",18.6,6,9.8,1.73333333333333,0.333333333333333,124.887949778992,FALSE,FALSE
2013,"2013-04-15","mating",11983,"M","KL","10.6","19.0",2,"capital","J.7",19,10.7,10.6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-15","mating",12445,"M","KL","9.2","5.0",2,"capital","I.2",4.9,9.2,9.2,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-04-15","mating",12908,"M","KL","3.7","18.8",2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE
2013,"2013-04-15","mating",12908,"M","KL","3.7","19.0",2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,6,TRUE,TRUE
2013,"2013-04-15","mating",13048,"M","KL","3.0","2.5",2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-20","mating",13048,"M","KL","3.0","2.5",2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-20","mating",13048,"M","KL","3.0","2.5",2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-23","mating",10531,"M","KL","6.0","6.4",2,"capital","F.0",6.5,6,6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE
2013,"2013-03-24","mating",11460,"M","KL","8.7","3.4",2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-23","mating",11460,"M","KL","8.7","3.4",2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-24","mating",11945,"M","KL","14.0","1.4",2,"capital","N.1",1.3,14.1,14,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE
2013,"2013-03-22","mating",12363,"M","KL","7.9","14.9",2,"capital","H.0",15,8,7.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE
2013,"2013-03-24","mating",12363,"M","KL","7.8","14.9",2,"capital","H.0",15,8,7.8,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE
2013,"2013-03-23","mating",12364,"M","KL","10.1","11.3",2,"capital","J.1",11,10.1,10.1,1.73333333333333,0.333333333333333,9.00000000000002,TRUE,TRUE
2013,"2013-03-22","mating",12542,"M","KL","13.7","14.9",2,"capital","M.7",14.9,13.7,13.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-23","mating",12565,"M","KL","-3.2","10.2",2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE
2013,"2013-03-23","mating",12657,"M","KL","11.0","5.9",2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,9,TRUE,TRUE
2013,"2013-03-24","mating",12657,"M","KL","11.2","6.0",2,"capital","K.0",6.2,11,11.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE
2013,"2013-03-22","mating",12657,"M","KL","11.0","5.8",2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,12,TRUE,TRUE
2013,"2013-03-22","mating",13010,"F","KL","3.5","0.5",2,"capital","C.8",0.6,3.8,3.5,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE
2013,"2013-03-22","mating",13048,"M","KL","3.2","2.4",2,"capital","C.0",2.5,3,3.2,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE
2013,"2013-03-22","mating",13048,"M","KL","3.1","2.4",2,"capital","C.0",2.5,3,3.1,1.73333333333333,0.333333333333333,4.24264068711929,TRUE,TRUE
2013,"2013-03-22","mating",13179,"M","KL","13.9","8.4",2,"capital","N.0",8.7,14,13.9,1.73333333333333,0.333333333333333,9.4868329805051,TRUE,TRUE
2013,"2013-03-24","mating",11266,"M","KL","7.1","10.5",2,"capital","G.1",10.5,7.1,7.1,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-25","mating",11460,"M","KL","8.7","3.4",2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-24","mating",12629,"F","KL","-5.4","8.8",2,"capital","-4.6",10,-4.6,-5.4,1.73333333333333,0.333333333333333,43.2666153055679,TRUE,FALSE
2013,"2013-03-24","mating",12827,"F","KL","-0.2","11.9",2,"capital","-0.3",12,-0.3,-0.2,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE
2013,"2013-04-19","mating",12629,"F","KL","6.0","11.2",2,"capital","-4.6",10,-4.6,6,1.73333333333333,0.333333333333333,320.03124847427,FALSE,FALSE
2013,"2013-04-21","mating",12629,"F","KL","-6.0","11.2",2,"capital","-4.6",10,-4.6,-6,1.73333333333333,0.333333333333333,55.3172667437573,FALSE,FALSE
2013,"2013-04-22","mating",10046,"F","KL","0.6","3.2",2,"capital","0.4",2.6,0.4,0.6,1.73333333333333,0.333333333333333,18.9736659610103,TRUE,FALSE
2013,"2013-04-22","mating",13123,"M","KL","-6.0","11.0",2,"capital","-5.9",11.3,-5.9,-6,1.73333333333333,0.333333333333333,9.48683298050515,TRUE,TRUE
2013,"2013-03-27","mating",11460,"M","KL","8.8","3.5",2,"capital","H.7",3.4,8.7,8.8,1.73333333333333,0.333333333333333,4.24264068711932,TRUE,TRUE
2013,"2013-03-26","mating",11460,"M","KL","8.7","3.2",2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,5.99999999999999,TRUE,TRUE
2013,"2013-03-26","mating",12364,"M","KL","10.1","11.4",2,"capital","J.1",11,10.1,10.1,1.73333333333333,0.333333333333333,12,TRUE,TRUE
2013,"2013-03-30","mating",12364,"M","KL","10.3","11.4",2,"capital","J.1",11,10.1,10.3,1.73333333333333,0.333333333333333,13.4164078649988,TRUE,FALSE
2013,"2013-03-27","mating",12542,"M","KL","13.8","14.8",2,"capital","M.7",14.9,13.7,13.8,1.73333333333333,0.333333333333333,4.24264068711931,TRUE,TRUE
2013,"2013-03-30","mating",12542,"M","KL","13.7","14.9",2,"capital","M.7",14.9,13.7,13.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE
2013,"2013-03-30","mating",12564,"M","KL","-4.7","11.8",2,"capital","-5.0",12,-5,-4.7,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE
2013,"2013-03-30","mating",12565,"M","KL","-3.3","10.4",2,"capital","-3.0",10,-3,-3.3,1.73333333333333,0.333333333333333,15,TRUE,FALSE
